#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
54740,Website and Communication,Task,"",New,Should have,Online Documentation lacks files and paths for mentioned code snippets,Chr is,"",2014-01-04 09:40,"","",2014-01-04,"","",0,2014-01-04 09:40,"","",1483300,"","There are multiple places where online documentation is *lacking file paths* that the mentioned code samples have to be added to - or modified in.


E.g. this page ...

http://docs.typo3.org/neos/TYPO3NeosDocumentation/IntegratorGuide/PageRendering.html#page-rendering

... lacks the file and path where the mentioned code snippet ...

<pre>
page = Page
page.body.templatePath = 'resource://My.Package/Private/Templates/PageTemplate.html'
</pre>

... should live from now on.


This is especially annoying for Newbies that are not yet familiar with the central files as they have to look for another information elsewhere.
And opening multiple browser tabs just to have every recursively structured subpage of needed documentation in sight is not very ergnonomic."
54444,Website and Communication,Task,"",New,Should have,#1258721059: The security context contained no tokens which could be authenticated.,Bram Verhaegh,"",2013-12-16 05:17,"","",2013-12-16,"","",0,2013-12-16 05:17,"","",1468750,"","After setup,
frontend en backend are not accessible

frontend : #1258721059: The security context contained no tokens which could be authenticated. (also after cleaning all caches)

backend: 404.
"
54319,Website and Communication,Task,"",Accepted,Should have,Missing or wrong RSS Link,Markus Günther,Berit Hlubek,2013-12-12 03:36,Copytext,"",2013-12-11,"","",0,2013-12-11 02:36,"","",1462500,"","In the Footer is a missing link to the RSS feed. Otherwise some javascript is missing that handles the action that should happen.

Actually the button do nothing."
54310,Website and Communication,Task,"",Resolved,Must have,Side menu on the home page overlaps,Markus Günther,Berit Hlubek,2013-12-13 08:25,Frontend,"",2013-12-10,"","",100,2013-12-10 15:21,"","",1462050,"","Hi,

the side menu at the home site overlaps with the main menu.

*Steps to reproduce:*
* go to http://neos.typo3.org/homepage.html
* scroll down to a new content section or click on a menu  item in the side menu
* scroll to the top ...

Now the hover state of the menu item overlap with the hover of the main menu. I used the current Chrome, but it is also on the current Safari and Firefox. I did not test IE.

In the Safari the side menu overlaps not as much as in the other browsers.

"
54309,Website and Communication,Task,"",Resolved,Must have,Imprint content is missing,Markus Günther,Berit Hlubek,2013-12-11 17:23,Copytext,"",2013-12-10,"","",100,2013-12-10 15:14,"","",1462000,"","Hi,

i am not sure if this is the right project for neos.typo3.org issues. I hope so ;)
Great to see the page in the new design and a big ""thank you"" to the whole team for that result.

I have just a small issue... it seems that the content on the imprint page is missing. 

http://neos.typo3.org/imprint.html"
54013,Website and Communication,Task,"",New,Should have,Use Cases for NEOS (vs. 6.x Tree),Andrew Isaak,Mathias Schreiber,2013-11-27 10:05,Copytext,"",2013-11-27,"","",0,2013-11-27 10:05,"","",1447700,"","Hey everyone,

here I am pointing out that it be great to provide a graphic or accordeon slider
to visually explain some sample scenarios for using NEOS (i.e. my guess is it would be more interesting for tech evangelists, startups and new users vs. 6.x which is likely to be more interesting for firms that already use 4.5)
The reality is, Typo3 can not maintain both branches forever. Someday Typo3 ""7"" will no longer be the focus and NEOS should be where our energies flow to (in my case of conceptual nature as I am not a real programmer per se but rather a former tech journalist and sys admin.)

Look forward to your feedback. Thanks for listening.

Andrew"
54011,Website and Communication,Task,"",New,Should have,Guide Migrating from TYPO3 6.X to NEOS,Andrew Isaak,Mathias Schreiber,2013-11-27 09:59,Copytext,"",2013-11-27,"","",0,2013-11-27 09:59,"","",1447600,"","Hey guys,

this is my first issue suggestion on your fine Redmine System here and
I hope it is in the right place.

It would be a big help for users to know how to make the move
from Typo3 4.5 or 6.x to NEOS with pros and cons. This should not take more than a few hours for someone that knows both systems well.

Another suggestion is to create use cases for 6.x vs. NEOS
and finally to provide sample websites based on NEOS or to list well-known sites that plan to make the move.

Thanks for giving it some thought!
Did not add any watchers yet since I'm not quite sure who's doing what yet and didnt want you to get spammed full of messages!

Best,
Andrew"
52626,Website and Communication,Task,"",Closed,Should have,Slider on small devices,Henjo Hoeksma,Henjo Hoeksma,2013-12-12 03:40,Conceptional,3) Build v1,2013-10-09,"","",100,2013-10-09 05:36,"","",1378800,"","Should the slider be available on smaller screensizes?
It scales down, so functionally it will work, but it sure takes up a large chunk of space."
52625,Website and Communication,Task,"",Closed,Should have,Should the main menu contain a dropdown possibility or...,Henjo Hoeksma,Henjo Hoeksma,2013-12-12 03:40,Conceptional,3) Build v1,2013-10-09,"","",100,2013-10-09 05:32,"","",1378750,"","... just not
... is it a section style menu pointing to the sections on the homepage
... ?"
52624,Website and Communication,Task,"",Resolved,Should have,Header navigation on smaller devices,Henjo Hoeksma,Berit Hlubek,2013-12-12 03:35,Conceptional,"",2013-10-09,"","",100,2013-10-09 05:30,"","",1378700,"","What would be a nice way to handle the header navigation on the top-right on smaller devices?

My suggestion would be to hide it and add a placeholder - or - move it to the bottom.

Any suggestions?
"
52528,Website and Communication,Task,"",New,Should have,Text-book: Edit & Preview,Rasmus Skjoldan,"",2013-10-04 04:55,"","",2013-10-04,"","",0,2013-10-04 04:55,"","",1373900,"","There has to be a supplementary section to in-page editing:

""Edit & Preview""

""Tailor your editing interfaces ? and let Preview Central make you see what your users will experience""
"
52459,Website and Communication,Task,"",Accepted,Should have,Technical Excellence,Mathias Schreiber,Mathias Schreiber,2013-10-02 05:49,Copytext,2) Finish Copytext,2013-10-02,"","",0,2013-10-02 05:49,"","",1370550,"","The TYPO3 Neos team is passionate about giving you the best possible experience while accomplishing your daily tasks. This is why we do not accept no as an answer.
The entire code is backed by automated tests so you can be sure that the system acts like it is supposed to.
Also we do not use state of the art technolgies - we define state of the art.
Every component used within Neos is thoroughly tested in different setups and use cases so we can keep up with our promise: Deliver excellence in software.


<pre>
Maybe a bit too over-the-top, but hey :)
Why keep our lights under the table :)
</pre>"
49438,Website and Communication,Task,"",Accepted,Should have,Pages: Work Package Listing,Berit Hlubek,Berit Hlubek,2013-12-12 03:38,"","",2013-12-12,"","",0,2013-06-26 05:09,"","",1221500,"","* Adjust styling to new layout
* Add paypal button"
48641,Website and Communication,Task,"",Resolved,Should have,Changes to masterTemplate,Rasmus Skjoldan,Rasmus Skjoldan,2013-12-11 17:26,"","",2013-06-03,"","",0,2013-05-29 08:48,"","",1181850,"","Remove underline from section orange menu.
Remove border-bottom from header menu
Remove border-bottom from H1
P fontsize: 18px/1.3 em

Let's look at it again after that....

"
48402,Website and Communication,Task,"",Closed,Must have,Pages: Keep the events page up to date,Berit Hlubek,Berit Hlubek,2013-12-12 03:34,"","",2013-05-20,"","",0,2013-05-20 16:12,"","",1169950,"",The events page shows our past and coming code sprints and should be kept up to date.
48401,Website and Communication,Task,"",New,Must have,Pages: Add all team members to the website,Berit Hlubek,Rasmus Skjoldan,2013-12-12 03:36,"","",2013-12-12,"","",0,2013-05-20 14:52,"","",1169900,"","We have to add all team members to the website.
It should be at least the name and the position and it would be nice to also show a picture.

*Idea:*
* Create a NodeType to show a team member with name and picture
* Maybe also show the location (country and city)
* Would be more work but also more personal: also show a sentence next to each member, like in the conference speaker descriptions"
48343,Website and Communication,Task,"",Needs Feedback,Should have,Textbook: UI & tech will only give you the options you need,Rasmus Skjoldan,Rasmus Skjoldan,2013-10-02 05:38,Copytext,2) Finish Copytext,2013-05-17,"","",70,2013-05-17 08:47,"","",1167000,"","*Headline:* Power when you need it

Copy (versionized from the UX page): 

The ultra-simple in-page editing makes editors center their attention on content. If you need to edit SEO data next to the content, Neos provides an inspector for that. If you need more, the inspector will be expandable to the full backend screen providing the user with all property options. That?s not enough? Create custom backend modules. And if even that's not enough, underlying Neos, we have Flow - a first-class web framework which will enable you to build web applications that can be integrated with any other system.

Neos will blend in seamlessly with your website so you as an editor don't have to re-think in order to edit your content.
It is our philosophy to reduce the amount of cognitive load to make editing content fun again.

*Idea and Reasoning*
Help people understand that Neos is somewhat the contrary to TYPO3 CMS in relation to the quantity of features you experience. You start small and build - where the contrary is often the case for clients looking at CMS.

Icon and image style
"
48298,Website and Communication,Task,"",On Hold,Should have,Textbook: Cloud,Mathias Schreiber,Rasmus Skjoldan,2013-10-02 05:38,Copytext,2) Finish Copytext,2013-05-16,"","",80,2013-05-16 11:18,"","",1164800,"","h3. Headline and copytext

h4. Headline: Ready for the cloud

*Copy:* Since TYPO3 Flow is cloud-ready, so is TYPO3 Neos. TYPO3 Neos scales with your business and your demands. You plan an intense marketing campaign? Simply add as many servers to your environment as you require - TYPO3 Neos will handle all the low level configuration for you.

h3. Idea and Reasoning

Cloud computing is the other big buzz right now.

h3. Icon and image style

* clouds (who would've thought....)"
48295,Website and Communication,Task,"",Closed,Could have,Textbook: Deployment options,Mathias Schreiber,Rasmus Skjoldan,2013-12-11 04:51,Copytext,2) Finish Copytext,2013-05-16,"","",80,2013-05-16 11:15,"","",1164650,"","h3. Headline and copytext

h4. Headline: Simple, reliable deployment

*Copy:* Manage your rollouts with ease by using TYPO3 Surf - run tests on the code and content your intend to deploy and only roll out when all tests pass. Never worry about launches again - TYPO3 Neos has your back.

h3. Idea and Reasoning

Mention surf as an acompaning tool, release cycles etc.

h3. Icon and image style

* Some arrow pointing upwards?"
48294,Website and Communication,Task,"",Closed,Could have,Textbook: Connection to Flow,Mathias Schreiber,Rasmus Skjoldan,2013-12-11 04:51,Copytext,2) Finish Copytext,2013-05-16,"","",0,2013-05-16 11:14,"","",1164600,"","h3. Headline and copytext

h4. Headline: Built on a robust foundation

*Copy:* Being built upon the most advanced PHP framework to date - TYPO3 Flow - makes your websites ready for whatever the future holds for you. TYPO3 Flow is secure by default, keeping your developers focussed on their main task - building your application - without having to worry about low level implementations. The ""code once - run everywhere"" approach of TYPO3 Flow makes the move from the application to the website very simple.
Whether you start with your website and build the applications from there or you have your application and need content management added to it - TYPO3 Neos and TYPO3 Flow have your back.

h3. Idea and Reasoning

Focus on Flow, next generation Framework stuff and so on

h3. Icon and image style

* concrete
* Buildings"
48293,Website and Communication,Task,"",Closed,Could have,Textbook: In-Page Editing,Mathias Schreiber,Mathias Schreiber,2013-12-11 04:51,Copytext,2) Finish Copytext,2013-05-16,"","",80,2013-05-16 11:11,"","",1164550,"","h3. Headline and copytext

h4. Headline: Inline editing

*Copy:* You won't need a manual or training to edit content in TYPO3 Neos - because you already know how to do that. It is is as easy as clicking onto the part you wish to edit - and start. TYPO3 Neos? ingenious editing interface lets you focus on your task without you having to jump through hoops because your CMS tells you to do so.

What you write is what you get.


h3. Idea and Reasoning

Focus on ease of use and the natural, organic way of editing content.
Intro.js (usablica.github.io/intro.js/) could show the user around the backend in a fancy way

h3. Icon and image style

* emotional
* show hands etc."
